epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,294.722,0.89364,0.66208,1.21894,0.79874,0.79176,0.80267,0.4685,1.10532,0.67534,1.31771,0.000137113,0.000137113,0.000137113
85,298.128,0.84764,0.64529,1.16653,0.76791,0.78828,0.79743,0.46181,1.12138,0.68746,1.33947,0.0001295,0.0001295,0.0001295
86,301.301,0.83631,0.63419,1.15204,0.77846,0.78269,0.79884,0.46886,1.12617,0.69691,1.34257,0.000121887,0.000121887,0.000121887
87,304.623,0.8312,0.62198,1.13304,0.75667,0.82461,0.79631,0.46043,1.11531,0.69438,1.33278,0.000114273,0.000114273,0.000114273
88,307.778,0.79553,0.58284,1.11988,0.79992,0.77653,0.79469,0.47101,1.11378,0.69548,1.33356,0.00010666,0.00010666,0.00010666
89,311.065,0.82769,0.63965,1.15109,0.76447,0.82258,0.79575,0.46982,1.1231,0.69984,1.34214,9.90472e-05,9.90472e-05,9.90472e-05
90,314.35,0.82849,0.61644,1.16586,0.79125,0.80152,0.80188,0.46597,1.12561,0.68703,1.34244,9.14341e-05,9.14341e-05,9.14341e-05
91,318.445,0.80413,0.55215,1.1845,0.83634,0.779,0.8073,0.46422,1.12921,0.68115,1.3515,8.3821e-05,8.3821e-05,8.3821e-05
92,321.902,0.74604,0.54217,1.15413,0.80188,0.7895,0.80344,0.45869,1.13882,0.6879,1.36712,7.62079e-05,7.62079e-05,7.62079e-05
93,325.215,0.73954,0.51414,1.14064,0.79487,0.79781,0.80286,0.45791,1.14145,0.69592,1.37346,6.85948e-05,6.85948e-05,6.85948e-05
94,328.272,0.70077,0.48402,1.09977,0.79168,0.79084,0.79275,0.45341,1.13498,0.69195,1.37483,6.09817e-05,6.09817e-05,6.09817e-05
95,331.516,0.71385,0.46494,1.12073,0.79784,0.78593,0.79843,0.45642,1.12361,0.68949,1.36986,5.33686e-05,5.33686e-05,5.33686e-05
96,334.685,0.71924,0.4155,1.10072,0.81683,0.77373,0.79695,0.45538,1.11759,0.69258,1.36885,4.57555e-05,4.57555e-05,4.57555e-05
97,337.914,0.71883,0.43924,1.12887,0.82378,0.76656,0.8096,0.46322,1.11746,0.69198,1.36837,3.81424e-05,3.81424e-05,3.81424e-05
98,340.89,0.72341,0.4446,1.11777,0.83121,0.75605,0.8119,0.46466,1.11984,0.69563,1.37301,3.05293e-05,3.05293e-05,3.05293e-05
99,343.904,0.69973,0.43799,1.0976,0.83043,0.75709,0.80917,0.46267,1.12066,0.69973,1.37343,2.29162e-05,2.29162e-05,2.29162e-05
100,346.976,0.70516,0.44621,1.10677,0.8024,0.77279,0.80135,0.46196,1.12648,0.70318,1.38134,1.53031e-05,1.53031e-05,1.53031e-05
